"","county","state","latitude","longitude"
"1","Nuckolls County","NE",40.1764918,-98.0468422
"2","Allen County","OH",40.7716274,-84.1061032
"3","Lake County","OH",41.9241163,-81.3926429
"4","Barton County","MO",37.5007989,-94.3440893
"5","Leelanau County","MI",45.1461816,-86.051574
"6","Sedgwick County","CO",40.8715679,-102.3553579
"7","Holt County","NE",42.4592867,-98.7847662
"8","Pickens County","GA",34.4567464,-84.4903508
"9","Kemper County","MS",32.7501361,-88.6256306
"10","Jersey County","IL",39.0801945,-90.361385
"11","Orange County","FL",28.5143906,-81.3232839
"12","Grayson County","TX",33.624524,-96.675693
"13","Crosby County","TX",33.609144,-101.2987099
"14","Yabucoa Municipio","PR",18.0598584,-65.8598713
"15","Alfalfa County","OK",36.7297032,-98.3234449
"16","Perry County","KY",37.2412822,-83.2177723
"17","Madison County","IA",41.3306216,-94.0151842
"18","Angelina County","TX",31.2518963,-94.6111337
"19","Bureau County","IL",41.4013043,-89.5283772
"20","Tippecanoe County","IN",40.3891334,-86.8935538
"21","Clinton County","MI",42.950455,-84.5916949
"22","Santa Isabel Municipio","PR",17.9529217,-66.3875885
"23","Northampton County","NC",36.4217739,-77.3983518
"24","Lawrence County","SD",44.348767,-103.8049474
"25","Jefferson County","CO",39.5795106,-105.245462
"26","Cowley County","KS",37.2345068,-96.8372468
"27","Craig County","VA",37.4736031,-80.2310507
"28","Worcester County","MA",42.3116934,-71.940282
"29","Kings County","CA",36.072478,-119.8155301
"30","Marion County","KS",38.3596474,-97.1027707
"31","Union County","GA",34.833333,-83.9892568
"32","Jefferson Davis Parish","LA",30.2695293,-92.8162205
"33","Eagle County","CO",39.6269919,-106.6951694
"34","Stone County","MO",36.751004,-93.4737009
"35","Nez Perce County","ID",46.3337914,-116.7609091
"36","Fayette County","GA",33.4127172,-84.4939407
"37","Wrangell City and Borough","AK",56.317416,-132.343978
"38","Allen County","KS",37.8842285,-95.3009448
"39","Shelby County","IA",41.6790143,-95.3089173
"40","Cape May County","NJ",39.0858411,-74.8463541
"41","Cheshire County","NH",42.9254596,-72.2481828
"42","Calvert County","MD",38.5227191,-76.5297621
"43","Sandoval County","NM",35.6850913,-106.8831191
"44","Washington County","OK",36.7043803,-95.9061545
"45","Maverick County","TX",28.7297873,-100.316678
"46","Sampson County","NC",34.9892978,-78.3711743
"47","Sullivan County","TN",36.5096806,-82.3013363
"48","Crook County","WY",44.5892657,-104.5672975
"49","Rush County","IN",39.6223785,-85.4664463
"50","Saline County","MO",39.1358403,-93.2041639
"51","Anne Arundel County","MD",38.9916174,-76.5608941
"52","Webster County","WV",38.483459,-80.4490515
"53","Putnam County","IL",41.1989613,-89.2983474
"54","Cleburne County","AR",35.5663146,-92.0599504
"55","Itasca County","MN",47.4908166,-93.6111022
"56","Sussex County","DE",38.6732275,-75.3370237
"57","Hancock County","IN",39.8225286,-85.7731503
"58","Jasper County","MO",37.2051967,-94.3372594
"59","Snohomish County","WA",48.070464,-121.936784
"60","Mason County","IL",40.2369926,-89.9135746
"61","Yakima County","WA",46.4565581,-120.7401446
"62","Henderson County","TX",32.2116334,-95.8534183
"63","LaGrange County","IN",41.6424623,-85.4278448
"64","Peach County","GA",32.5713241,-83.8319779
"65","Jefferson County","WV",39.3073985,-77.86322
"66","Tarrant County","TX",32.7721191,-97.2912241
"67","Scott County","MS",32.4119595,-89.5334861
"68","Knox County","IN",38.688391,-87.4203544
"69","Dawson County","NE",40.8673784,-99.8151537
"70","Fergus County","MT",47.2252211,-109.2321376
"71","San Benito County","CA",36.6116507,-121.0858108
"72","Granite County","MT",46.3959554,-113.4273564
"73","Wexford County","MI",44.3313751,-85.5700462
"74","Smyth County","VA",36.8423183,-81.5397861
"75","Isanti County","MN",45.5624313,-93.2963388
"76","Van Zandt County","TX",32.5587866,-95.8369057
"77","Ocean County","NJ",39.865669,-74.2588636
"78","Ogle County","IL",42.041884,-89.3201764
"79","Clay County","KS",39.3449643,-97.1688527
"80","Caldwell County","MO",39.6589977,-93.9791785
"81","Bell County","KY",36.7289281,-83.680718
"82","Fresno County","CA",36.7610058,-119.6550193
"83","Dallam County","TX",36.2863696,-102.5940204
"84","Wood County","TX",32.7835881,-95.3821664
"85","Shawano County","WI",44.7896407,-88.7558134
"86","Le Sueur County","MN",44.3734238,-93.7301433
"87","Vega Alta Municipio","PR",18.4361633,-66.3366734
"88","Harford County","MD",39.5374292,-76.2997894
"89","Calumet County","WI",44.0784104,-88.2121322
"90","Pacific County","WA",46.5565866,-123.7824193
"91","Aleutians East Borough","AK",55.2450437,-161.9974772
"92","Monroe County","NY",43.4644839,-77.6646584
"93","Kauai County","HI",22.0120383,-159.7059653
"94","Noxubee County","MS",33.1065082,-88.5660044
"95","Wasco County","OR",45.1645359,-121.1650693
"96","Wilson County","TN",36.149527,-86.2912423
"97","Schoharie County","NY",42.591294,-74.4381718
"98","Marion County","WV",39.5058387,-80.2434018
"99","Douglas County","WI",46.4632185,-91.8924773
"100","Edgecombe County","NC",35.9170773,-77.6027422
"101","Norton city","VA",36.9315489,-82.625996
"102","McClain County","OK",35.0164359,-97.4498032
"103","Villalba Municipio","PR",18.1307185,-66.4722435
"104","Warren County","GA",33.4191691,-82.6880123
"105","Roosevelt County","MT",48.2827471,-104.9951698
"106","Cowlitz County","WA",46.1967854,-122.6784596
"107","Yadkin County","NC",36.1587653,-80.6651641
"108","Saline County","KS",38.7918043,-97.6514783
"109","DuPage County","IL",41.8520577,-88.0860389
"110","Fillmore County","NE",40.5250399,-97.5967053
"111","Aleutians West Census Area","AK",51.948964,179.6211882
"112","Livingston County","KY",37.2095174,-88.3634261
"113","Adams County","PA",39.8694707,-77.2177296
"114","Utah County","UT",40.1204248,-111.6685082
"115","Kings County","NY",40.6350451,-73.9506398
"116","Todd County","KY",36.8403384,-87.1836416
"117","Northampton County","PA",40.7527913,-75.3074468
"118","Columbiana County","OH",40.770073,-80.778455
"119","Marion County","FL",29.2028047,-82.0431004
"120","Lake County","IL",42.326441,-87.435976
"121","Kit Carson County","CO",39.3053399,-102.6030226
"122","Johnson County","TN",36.4532029,-81.8612467
"123","Carroll County","KY",38.6683939,-85.1240238
"124","Polk County","TN",35.1094371,-84.5411124
"125","Renville County","ND",48.7127815,-101.6581522
"126","Tom Green County","TX",31.3988233,-100.4637879
"127","Monroe County","IA",41.0288473,-92.8696415
"128","Dillon County","SC",34.3901723,-79.3749638
"129","Furnas County","NE",40.191865,-99.9096631
"130","Dunn County","ND",47.3545572,-102.6123216
"131","Branch County","MI",41.9184551,-85.0668852
"132","Pendleton County","KY",38.6962842,-84.3519435
"133","Franklin County","TN",35.1559259,-86.0992032
"134","Grady County","GA",30.8759076,-84.2450803
"135","Plumas County","CA",39.9922953,-120.8243709
"136","Wasatch County","UT",40.3348838,-111.1615683
"137","Cuyahoga County","OH",41.7603919,-81.7242168
"138","Petroleum County","MT",47.1419168,-108.2265753
"139","Crockett County","TN",35.8187949,-89.1324936
"140","Sierra County","NM",33.1194684,-107.1881612
"141","Morrill County","NE",41.7322039,-102.9905936
"142","Chautauqua County","KS",37.1542592,-96.2453962
"143","Randolph County","AL",33.2964753,-85.4640679
"144","Sheridan County","MT",48.7055228,-104.5339129
"145","York County","SC",34.9701875,-81.1831873
"146","Washington County","IN",38.6006126,-86.1047512
"147","Camas County","ID",43.5025515,-114.7721349
"148","Lewis County","WV",38.9888773,-80.4954773
"149","Payne County","OK",36.0792254,-96.9752553
"150","Nelson County","KY",37.8031198,-85.4659312
"151","Colonial Heights city","VA",37.2616846,-77.3968043
"152","Franklin County","MA",42.5845038,-72.5917921
"153","Stone County","AR",35.8570011,-92.1404819
"154","Churchill County","NV",39.5377097,-118.2641661
"155","Middlesex County","CT",41.4330028,-72.5227802
"156","Decatur County","KS",39.783542,-100.4597084
"157","Morgan County","OH",39.6249458,-81.8616967
"158","Lyon County","KS",38.4554034,-96.1616407
"159","Lincoln County","NC",35.4884913,-81.2268916
"160","Toombs County","GA",32.1178118,-82.3306257
"161","Warren County","IN",40.3526584,-87.3758466
"162","Gilchrist County","FL",29.7234556,-82.7958011
"163","Emporia city","VA",36.696182,-77.5359753
"164","Dubois County","IN",38.3733441,-86.8733845
"165","Hughes County","OK",35.0529339,-96.2511829
"166","Pondera County","MT",48.2286037,-112.2207612
"167","McDonald County","MO",36.630218,-94.3439556
"168","Kinney County","TX",29.3470865,-100.4177003
"169","Lincoln Parish","LA",32.6018231,-92.6623026
"170","Oldham County","TX",35.4019206,-102.5976203
"171","Glades County","FL",26.9548102,-81.1908197
"172","Orange County","VA",38.250193,-78.0096224
"173","Marshall County","AL",34.3095637,-86.3216681
"174","Ford County","IL",40.5965386,-88.2245882
"175","Greene County","VA",38.2979805,-78.4701629
"176","Guam","GU",13.4417451,144.7719021
"177","Harrison County","OH",40.2923175,-81.0915651
"178","Karnes County","TX",28.9089957,-97.8522048
"179","Scott County","IL",39.6370016,-90.4777707
"180","Warren County","NY",43.5551053,-73.8381388
"181","Washburn County","WI",45.8924885,-91.7964217
"182","Calhoun County","GA",31.521279,-84.6262895
"183","Kleberg County","TX",27.4387348,-97.6606203
"184","Berks County","PA",40.4139565,-75.9268598
"185","Berkshire County","MA",42.371493,-73.2179276
"186","Cleveland County","NC",35.3346302,-81.5571145
"187","Dallas County","IA",41.6853205,-94.0407065
"188","Warren County","NC",36.3981051,-78.0998993
"189","Wichita County","TX",33.9882125,-98.7080098
"190","Pamlico County","NC",35.1475747,-76.6652684
"191","Jessamine County","KY",37.8732908,-84.5839603
"192","Giles County","TN",35.2027228,-87.035319
"193","Sumner County","KS",37.2366617,-97.4933519
"194","White County","GA",34.643776,-83.7434165
"195","LaSalle Parish","LA",31.6800826,-92.1615956
"196","Johnson County","IA",41.670668,-91.5905285
"197","Fairbanks North Star Borough","AK",64.6760436,-146.5481586
"198","Ceiba Municipio","PR",18.2737491,-65.5308947
"199","Florence County","SC",34.0285346,-79.7102329
"200","Anoka County","MN",45.2741098,-93.2427232
"201","Wicomico County","MD",38.3673699,-75.6320828
"202","Weld County","CO",40.555961,-104.383666
"203","Juniata County","PA",40.530673,-77.4004377
"204","Mecosta County","MI",43.6352949,-85.3327509
"205","Childress County","TX",34.5246235,-100.2081658
"206","Warren County","KY",36.995634,-86.4235786
"207","Davis County","IA",40.7480892,-92.4103453
"208","Levy County","FL",29.2844566,-82.783462
"209","Pulaski County","MO",37.8248346,-92.2070224
"210","Blaine County","NE",41.931945,-99.9964074
"211","Fisher County","TX",32.7404728,-100.4031198
"212","Coffee County","GA",31.5492452,-82.8449401
"213","Hardin County","IA",42.3902079,-93.241669
"214","Edgefield County","SC",33.7764976,-81.9682452
"215","Rockingham County","NH",42.9886636,-71.0990801
"216","San Augustine County","TX",31.3824492,-94.1631796
"217","Kosciusko County","IN",41.2442928,-85.8615754
"218","Hardin County","TX",30.3296483,-94.3931782
"219","Seneca County","NY",42.7822943,-76.827088
"220","Pendleton County","WV",38.6744501,-79.3406175
"221","Sherman County","OR",45.3992158,-120.6785124
"222","Texas County","MO",37.3142565,-91.9644783
"223","Pulaski County","AR",34.7703106,-92.312996
"224","Choctaw County","OK",34.0276453,-95.5542077
"225","Walla Walla County","WA",46.2546057,-118.4803697
"226","Kent County","TX",33.1847797,-100.7697199
"227","Teton County","MT",47.8190352,-112.2817249
"228","Currituck County","NC",36.3721739,-75.9412242
"229","Dearborn County","IN",39.14832,-84.9734976
"230","Putnam County","OH",41.0245334,-84.1298791
"231","San Saba County","TX",31.1551375,-98.8192922
"232","Oldham County","KY",38.4001274,-85.4561516
"233","Oliver County","ND",47.1180789,-101.3314198
"234","Windsor County","VT",43.5726846,-72.5988211
"235","Hawaii County","HI",19.5977643,-155.5024434
"236","Keweenaw County","MI",47.6819737,-88.1487965
"237","McCormick County","SC",33.8975992,-82.3161961
"238","Mineral County","MT",47.1519417,-115.0656272
"239","Putnam County","IN",39.6655479,-86.8533729
"240","Wilkes County","GA",33.7790312,-82.7479211
"241","Butts County","GA",33.2903551,-83.9582206
"242","Pierce County","ND",48.2388827,-99.966497
"243","Lumpkin County","GA",34.5681403,-83.9989251
"244","York County","VA",37.2190813,-76.5616481
"245","Isabella County","MI",43.6452331,-84.8394245
"246","Dyer County","TN",36.054196,-89.3983058
"247","Norfolk County","MA",42.1717393,-71.1811115
"248","Thurston County","WA",46.9358216,-122.8301524
"249","Columbus County","NC",34.2616017,-78.6393077
"250","Taylor County","TX",32.2971255,-99.8904299
"251","Winnebago County","IA",43.3781243,-93.7434883
"252","Zapata County","TX",26.9969806,-99.1826027
"253","Boyd County","KY",38.3600037,-82.6814063
"254","Lewis County","TN",35.5232441,-87.4969827
"255","Virginia Beach city","VA",36.7799845,-76.0252078
"256","Kent County","RI",41.6742448,-71.5809243
"257","New Madrid County","MO",36.5942608,-89.6559485
"258","Skamania County","WA",46.0247853,-121.9532319
"259","Calhoun County","TX",28.4417191,-96.5795739
"260","Allen County","KY",36.7507703,-86.192458
"261","Walsh County","ND",48.3769789,-97.7222304
"262","Morgan County","TN",36.138697,-84.6392616
"263","Custer County","CO",38.1019955,-105.3735123
"264","Newton County","IN",40.9623985,-87.4021716
"265","Fulton County","AR",36.3836192,-91.8196636
"266","Clark County","ID",44.290218,-112.3546128
"267","Nobles County","MN",43.6776863,-95.7631323
"268","Jerome County","ID",42.6913953,-114.2620858
"269","Carroll County","AR",36.3373704,-93.5409718
"270","Wells County","IN",40.7352727,-85.2129742
"271","Lawrence County","KY",38.0744531,-82.7382903
"272","Leon County","TX",31.3004926,-95.9956219
"273","Pitkin County","CO",39.2175376,-106.9161587
"274","Miner County","SD",44.0215411,-97.608122
"275","Ciales Municipio","PR",18.2959127,-66.5155884
"276","Northumberland County","VA",37.8569736,-76.3796872
"277","Green Lake County","WI",43.7802469,-88.9703796
"278","Barrow County","GA",33.9920094,-83.7123025
"279","Ochiltree County","TX",36.2787442,-100.8158636
"280","Lake County","TN",36.3339054,-89.4855365
"281","Tuscaloosa County","AL",33.2902197,-87.5227834
"282","Powhatan County","VA",37.5494041,-77.9128553
"283","Falls Church city","VA",38.884722,-77.1756027
"284","Muskingum County","OH",39.9660457,-81.9435064
"285","Bowman County","ND",46.1101438,-103.5059433
"286","Shackelford County","TX",32.7438198,-99.3470045
"287","Greene County","NY",42.2798211,-74.1420253
"288","Benton County","IA",42.0925474,-92.05763
"289","Halifax County","NC",36.2514375,-77.6448423
"290","Cheyenne County","KS",39.7899166,-101.7273254
"291","Garza County","TX",33.183792,-101.3011341
"292","Inyo County","CA",36.561977,-117.4039269
"293","Butler County","MO",36.7151802,-90.40313
"294","Hot Spring County","AR",34.3151767,-92.9441474
"295","Mills County","IA",41.0337028,-95.619101
"296","Yalobusha County","MS",34.0306661,-89.7038072
"297","Evangeline Parish","LA",30.7206932,-92.4040858
"298","Contra Costa County","CA",37.919479,-121.9515431
"299","Platte County","NE",41.5768655,-97.5134673
"300","Medina County","TX",29.3536614,-99.1110845
"301","Tolland County","CT",41.8580807,-72.3409779
"302","Mineral County","CO",37.5490672,-107.003236
"303","Floyd County","IN",38.3180811,-85.9118469
"304","Alpine County","CA",38.6217831,-119.7983522
"305","Pecos County","TX",30.773298,-102.7181533
"306","Roane County","TN",35.8472504,-84.5239292
"307","Jackson County","TX",28.9598019,-96.58908
"308","Windham County","CT",41.8249987,-71.9907017
"309","Tuscarawas County","OH",40.4474903,-81.4711052
"310","Campbell County","WY",44.1919995,-105.5170141
"311","Cross County","AR",35.2856921,-90.7639835
"312","Shelby County","AL",33.2630428,-86.6780894
"313","Manassas Park city","VA",38.7689451,-77.448767
"314","Big Horn County","MT",45.407869,-107.5181625
"315","Sioux County","NE",42.4706681,-103.7321705
"316","Colorado County","TX",29.596296,-96.5089347
"317","Jackson County","OK",34.5940059,-99.4122347
"318","Morehouse Parish","LA",32.8200082,-91.8003988
"319","Morgan County","IN",39.4826458,-86.4474573
"320","Troup County","GA",33.034482,-85.02836
"321","Humboldt County","CA",40.7066554,-123.9261757
"322","Sussex County","VA",36.9266454,-77.2597319
"323","Roosevelt County","NM",34.0212068,-103.4830039
"324","Ellis County","OK",36.2242576,-99.7501388
"325","Somerset County","NJ",40.5655273,-74.6199378
"326","Augusta County","VA",38.1719106,-79.1475571
"327","Polk County","MO",37.6167611,-93.4008166
"328","Oneida County","ID",42.1838954,-112.5204486
"329","Lincoln County","NM",33.7408411,-105.4498055
"330","Switzerland County","IN",38.8258545,-85.029681
"331","Carroll County","NH",43.8677742,-71.2015596
"332","Logan County","KS",38.9132702,-101.1574016
"333","Dane County","WI",43.0674684,-89.4178523
"334","Grant County","ND",46.3578269,-101.6390494
"335","Ionia County","MI",42.9446503,-85.073766
"336","Polk County","FL",27.9536488,-81.6935337
"337","Audrain County","MO",39.214481,-91.8434182
"338","Colleton County","SC",32.8350184,-80.6552438
"339","Greene County","AR",36.1206072,-90.5663459
"340","Henry County","KY",38.4513829,-85.1196472
"341","Wheeler County","NE",41.9225747,-98.5208533
"342","Greenbrier County","WV",37.9244177,-80.4505897
"343","Dickenson County","VA",37.1367011,-82.3492199
"344","Bristol city","VA",36.6169541,-82.1575641
"345","Will County","IL",41.4484742,-87.9784564
"346","Deaf Smith County","TX",34.9407663,-102.6075637
"347","Clay County","MO",39.3155512,-94.4215024
"348","Des Moines County","IA",40.9153393,-91.1869253
"349","Cumberland County","NJ",39.3284336,-75.1216277
"350","Bastrop County","TX",30.1007718,-97.3106392
"351","Laurel County","KY",37.1132678,-84.119395
"352","Linn County","MO",39.8644404,-93.108019
"353","Red River County","TX",33.6196255,-95.0484293
"354","Chatham County","GA",31.9804037,-81.085184
"355","McCone County","MT",47.6296277,-105.757222
"356","Lee County","SC",34.1586401,-80.2512086
"357","Wyoming County","NY",42.7013627,-78.2285667
"358","Martinsville city","VA",36.6835269,-79.8636475
"359","Macoupin County","IL",39.2659138,-89.9263301
"360","Jefferson County","IL",38.3007796,-88.92421
"361","Sheridan County","KS",39.3505465,-100.4412278
"362","Sutter County","CA",39.0361898,-121.7039397
"363","Smith County","TX",32.3770156,-95.2700409
"364","Grant County","WA",47.2136328,-119.467788
"365","Bee County","TX",28.4160769,-97.7425858
"366","Adams County","WA",47.0112378,-118.5128614
"367","Esmeralda County","NV",37.7789658,-117.6323824
"368","Newton County","GA",33.5440407,-83.8551837
"369","Hunterdon County","NJ",40.5652832,-74.9119695
"370","Cheatham County","TN",36.2551687,-87.1008077
"371","O'Brien County","IA",43.0837455,-95.6256244
"372","Walker County","AL",33.7915581,-87.3010936
"373","Montgomery County","AL",32.2028812,-86.2044615
"374","Brunswick County","NC",34.0387542,-78.2277653
"375","Union County","PA",40.962179,-77.0554751
"376","Washington County","IA",41.3294012,-91.7250523
"377","Scott County","TN",36.435234,-84.50352
"378","Daniels County","MT",48.794429,-105.5417385
"379","Sioux County","IA",43.082646,-96.1780098
"380","Orange County","NY",41.4024096,-74.3062522
"381","Grand County","CO",40.1130652,-106.1108366
"382","Wyandot County","OH",40.8397816,-83.313681
"383","Cass County","IA",41.3338235,-94.9333023
"384","Lancaster County","NE",40.7835474,-96.6886584
"385","Menard County","TX",30.8852677,-99.8588613
"386","Lamar County","GA",33.0744405,-84.1466893
"387","Jefferson County","ID",43.7969649,-112.3185879
"388","Marion County","TN",35.1334215,-85.618399
"389","Surry County","VA",37.1197611,-76.8801717
"390","Fremont County","WY",43.054831,-108.6089349
"391","Mille Lacs County","MN",45.9290434,-93.6329964
"392","Cheyenne County","CO",38.8356456,-102.6017914
"393","Gem County","ID",44.0614727,-116.3987839
"394","Schoolcraft County","MI",46.0211217,-86.197029
