"","county","state","poverty","income"
"1","Autauga County","AL",11.2,67565
"2","Baldwin County","AL",8.9,71135
"3","Barbour County","AL",25.5,38866
"4","Bibb County","AL",17.8,50907
"5","Blount County","AL",13.1,55203
"6","Bullock County","AL",30.8,33124
"7","Butler County","AL",20.6,42268
"8","Calhoun County","AL",14.5,50259
"9","Chambers County","AL",16.3,39318
"10","Cherokee County","AL",14.7,50388
"11","Chilton County","AL",13.9,52693
"12","Choctaw County","AL",20.4,41649
"13","Clarke County","AL",19.5,44178
"14","Clay County","AL",14.2,44763
"15","Cleburne County","AL",14.2,50134
"16","Coffee County","AL",13.9,54203
"17","Colbert County","AL",14.4,54185
"18","Conecuh County","AL",22.9,34664
"19","Coosa County","AL",17.4,46509
"20","Covington County","AL",17.1,43544
"21","Crenshaw County","AL",16.8,45927
"22","Cullman County","AL",12.5,51844
"23","Dale County","AL",15.5,48493
"24","Dallas County","AL",26.7,37679
"25","DeKalb County","AL",15.2,47156
"26","Elmore County","AL",11.5,62524
"27","Escambia County","AL",20.4,41212
"28","Etowah County","AL",15.6,47872
"29","Fayette County","AL",16.5,45937
"30","Franklin County","AL",17.2,40448
"31","Geneva County","AL",21,39882
"32","Greene County","AL",27.9,33609
"33","Hale County","AL",21.9,41836
"34","Henry County","AL",16.2,51126
"35","Houston County","AL",14.8,54391
"36","Jackson County","AL",15.3,46606
"37","Jefferson County","AL",14.4,57802
"38","Lamar County","AL",17.4,40204
"39","Lauderdale County","AL",13.9,52293
"40","Lawrence County","AL",15.4,48924
"41","Lee County","AL",17.9,58963
"42","Limestone County","AL",10.4,70850
"43","Lowndes County","AL",21.9,37499
"44","Macon County","AL",27.9,37736
"45","Madison County","AL",10.5,67810
"46","Marengo County","AL",18.3,43198
"47","Marion County","AL",16.8,44333
"48","Marshall County","AL",15.4,51417
"49","Mobile County","AL",17.6,50871
"50","Monroe County","AL",22.5,38812
"51","Montgomery County","AL",20.4,49607
"52","Morgan County","AL",14.4,55688
"53","Perry County","AL",30.7,33712
"54","Pickens County","AL",22.7,41870
"55","Pike County","AL",19.7,43141
"56","Randolph County","AL",17.5,46679
"57","Russell County","AL",20.3,40821
"58","St. Clair County","AL",10.5,61973
"59","Shelby County","AL",7,88444
"60","Sumter County","AL",29.2,32275
"61","Talladega County","AL",16.9,44802
"62","Tallapoosa County","AL",15.2,46654
"63","Tuscaloosa County","AL",14.4,56610
"64","Walker County","AL",16.4,46519
"65","Washington County","AL",17.5,36346
"66","Wilcox County","AL",22.2,31909
"67","Winston County","AL",17.4,46453
"68","Aleutians East Borough","AK",15.1,79128
"69","Aleutians West Census Area","AK",8.1,92216
"70","Anchorage Borough","AK",8.3,84577
"71","Bethel Census Area","AK",25.3,52214
"72","Bristol Bay Borough","AK",10.7,87032
"73","Chugach Census Area","AK",7,84063
"74","Copper River Census Area","AK",12.7,61215
"75","Denali Borough","AK",6.4,80192
"76","Dillingham Census Area","AK",18.7,72334
"77","Fairbanks North Star Borough","AK",7.2,76650
"78","Haines Borough","AK",9.6,105044
"79","Hoonah-Angoon Census Area","AK",12.7,55593
"80","Juneau Borough","AK",8.1,89204
"81","Kenai Peninsula Borough","AK",10.6,68448
"82","Ketchikan Gateway Borough","AK",8.3,76780
"83","Kodiak Island Borough","AK",7.5,72028
"84","Kusilvak Census Area","AK",27.9,37566
"85","Lake and Peninsula Borough","AK",17.6,54386
"86","Matanuska-Susitna Borough","AK",8.7,89502
"87","Nome Census Area","AK",18.8,64309
"88","North Slope Borough","AK",11.1,94759
"89","Northwest Arctic Borough","AK",18.5,65194
"90","Petersburg Borough","AK",7.4,66096
"91","Prince of Wales-Hyder Census Area","AK",15.9,53638
"92","Sitka Borough","AK",7.4,79363
"93","Skagway Municipality","AK",3.8,78421
"94","Southeast Fairbanks Census Area","AK",11.7,64544
"95","Wrangell City and Borough","AK",10.6,64643
"96","Yakutat Borough","AK",12.4,68352
"97","Yukon-Koyukuk Census Area","AK",20.5,43060
"98","Apache County","AZ",32.4,36319
"99","Cochise County","AZ",14.6,51171
"100","Coconino County","AZ",17.2,57146
"101","Gila County","AZ",16.7,49280
"102","Graham County","AZ",15.2,55419
"103","Greenlee County","AZ",8.4,67530
"104","La Paz County","AZ",20.8,41637
"105","Maricopa County","AZ",11.6,71799
"106","Mohave County","AZ",15.3,46678
"107","Navajo County","AZ",23.3,46698
"108","Pima County","AZ",14.9,56551
"109","Pinal County","AZ",11.1,66992
"110","Santa Cruz County","AZ",16.8,44402
"111","Yavapai County","AZ",10.8,58860
"112","Yuma County","AZ",15.2,54278
"113","Arkansas County","AR",17.2,51186
"114","Ashley County","AR",17.1,44677
"115","Baxter County","AR",14.4,44833
"116","Benton County","AR",9.1,78678
"117","Boone County","AR",14.1,48153
"118","Bradley County","AR",20.6,41578
"119","Calhoun County","AR",16.2,50865
"120","Carroll County","AR",14.1,45397
"121","Chicot County","AR",26.8,35992
"122","Clark County","AR",20.1,46464
"123","Clay County","AR",18.1,43723
"124","Cleburne County","AR",14.5,49964
"125","Cleveland County","AR",13.8,57697
"126","Columbia County","AR",18.3,44925
"127","Conway County","AR",15.8,47049
"128","Craighead County","AR",16.8,51797
"129","Crawford County","AR",14.4,54534
"130","Crittenden County","AR",22.9,47545
"131","Cross County","AR",21.2,40587
"132","Dallas County","AR",19.5,34649
"133","Desha County","AR",22.8,37421
"134","Drew County","AR",18.4,46787
"135","Faulkner County","AR",12,57367
"136","Franklin County","AR",15.3,47256
"137","Fulton County","AR",17,39839
"138","Garland County","AR",15.7,46459
"139","Grant County","AR",9.9,62077
"140","Greene County","AR",17.1,53821
"141","Hempstead County","AR",18.7,42790
"142","Hot Spring County","AR",14.9,49582
"143","Howard County","AR",16.7,40566
"144","Independence County","AR",15,50834
"145","Izard County","AR",20.1,41787
"146","Jackson County","AR",23.1,40789
"147","Jefferson County","AR",18.9,40588
"148","Johnson County","AR",17.3,39439
"149","Lafayette County","AR",19.8,40007
"150","Lawrence County","AR",19.2,41188
"151","Lee County","AR",36.8,32502
"152","Lincoln County","AR",23.6,47903
"153","Little River County","AR",16.2,47125
"154","Logan County","AR",15.8,43577
"155","Lonoke County","AR",10.9,59623
"156","Madison County","AR",16.9,45144
"157","Marion County","AR",19.1,39888
"158","Miller County","AR",19.2,43634
"159","Mississippi County","AR",21,47892
"160","Monroe County","AR",23.8,35833
"161","Montgomery County","AR",18.8,42751
"162","Nevada County","AR",19.1,41854
"163","Newton County","AR",18.7,40698
"164","Ouachita County","AR",20.5,46374
"165","Perry County","AR",14.7,46317
"166","Phillips County","AR",22.1,35167
"167","Pike County","AR",18.6,43133
"168","Poinsett County","AR",21.2,36150
"169","Polk County","AR",18.1,42915
"170","Pope County","AR",14.1,46350
"171","Prairie County","AR",14.5,48478
"172","Pulaski County","AR",15.3,56171
"173","Randolph County","AR",16.3,46495
"174","St. Francis County","AR",30.1,37759
"175","Saline County","AR",8.2,70550
"176","Scott County","AR",17.5,41230
"177","Searcy County","AR",22.3,33814
"178","Sebastian County","AR",16.8,48627
"179","Sevier County","AR",16.7,45838
"180","Sharp County","AR",18.1,40437
"181","Stone County","AR",20.1,36148
"182","Union County","AR",16.9,47857
"183","Van Buren County","AR",16.4,42345
"184","Washington County","AR",13.2,57712
"185","White County","AR",14.8,43765
"186","Woodruff County","AR",22.6,37634
"187","Yell County","AR",14.3,48728
"188","Alameda County","CA",8.6,113518
"189","Alpine County","CA",14.3,64542
"190","Amador County","CA",10.3,68141
"191","Butte County","CA",17.3,54718
"192","Calaveras County","CA",11.6,66329
"193","Colusa County","CA",10.3,59422
"194","Contra Costa County","CA",7.2,106484
"195","Del Norte County","CA",18.5,47442
"196","El Dorado County","CA",8.4,87792
"197","Fresno County","CA",17.1,61401
"198","Glenn County","CA",12.4,57779
"199","Humboldt County","CA",15.8,56071
"200","Imperial County","CA",18.1,47599
"201","Inyo County","CA",10.9,55981
"202","Kern County","CA",18.3,58583
"203","Kings County","CA",14.5,60319
"204","Lake County","CA",15.9,52345
"205","Lassen County","CA",15.5,63803
"206","Los Angeles County","CA",13.2,75624
"207","Madera County","CA",14.1,68744
"208","Marin County","CA",6,127601
"209","Mariposa County","CA",13.3,56887
"210","Mendocino County","CA",14.3,53176
"211","Merced County","CA",16.3,58998
"212","Modoc County","CA",17.9,46838
"213","Mono County","CA",9,73204
"214","Monterey County","CA",11.6,85031
"215","Napa County","CA",7.9,92149
"216","Nevada County","CA",9.2,74158
"217","Orange County","CA",9,98786
"218","Placer County","CA",6.5,100662
"219","Plumas County","CA",13.5,58489
"220","Riverside County","CA",11.2,76409
"221","Sacramento County","CA",12.5,72953
"222","San Benito County","CA",7.9,91185
"223","San Bernardino County","CA",14.3,65984
"224","San Diego County","CA",9.5,87126
"225","San Francisco County","CA",10,121722
"226","San Joaquin County","CA",13.9,70685
"227","San Luis Obispo County","CA",10.6,79455
"228","San Mateo County","CA",5.5,132369
"229","Santa Barbara County","CA",10.5,86136
"230","Santa Clara County","CA",6.6,139462
"231","Santa Cruz County","CA",10.7,93015
"232","Shasta County","CA",13.9,59108
"233","Sierra County","CA",11.5,59422
"234","Siskiyou County","CA",14.3,49441
"235","Solano County","CA",9.3,83678
"236","Sonoma County","CA",7.8,87366
"237","Stanislaus County","CA",13,64501
"238","Sutter County","CA",11.5,65791
"239","Tehama County","CA",13.3,61571
"240","Trinity County","CA",18,45113
"241","Tulare County","CA",17.1,62058
"242","Tuolumne County","CA",12.1,63336
"243","Ventura County","CA",9.1,90961
"244","Yolo County","CA",14.8,80668
"245","Yuba County","CA",16.3,56278
"246","Adams County","CO",9.4,73615
"247","Alamosa County","CO",16.7,50390
"248","Arapahoe County","CO",7,82381
"249","Archuleta County","CO",9.4,63961
"250","Baca County","CO",16.9,42531
"251","Bent County","CO",26.6,50688
"252","Boulder County","CO",9.5,88289
"253","Broomfield County","CO",4.2,106263
"254","Chaffee County","CO",9.6,64220
"255","Cheyenne County","CO",12.3,56383
"256","Clear Creek County","CO",7.3,79422
"257","Conejos County","CO",17.6,39822
"258","Costilla County","CO",21.8,35639
"259","Crowley County","CO",37.2,36836
"260","Custer County","CO",12.2,60485
"261","Delta County","CO",12.1,53553
"262","Denver County","CO",12.4,75355
"263","Dolores County","CO",12.5,50821
"264","Douglas County","CO",3,122290
"265","Eagle County","CO",6.4,94309
"266","Elbert County","CO",4.8,107139
"267","El Paso County","CO",9.1,72459
"268","Fremont County","CO",15.2,52414
"269","Garfield County","CO",6.7,79958
"270","Gilpin County","CO",6.6,79622
"271","Grand County","CO",6.8,74484
"272","Gunnison County","CO",9.6,68214
"273","Hinsdale County","CO",7.2,63034
"274","Huerfano County","CO",19.9,49502
"275","Jackson County","CO",11.6,55430
"276","Jefferson County","CO",6.1,90097
"277","Kiowa County","CO",12,49179
"278","Kit Carson County","CO",10.8,54642
"279","Lake County","CO",10.6,61518
"280","La Plata County","CO",10,66080
"281","Larimer County","CO",9.9,80344
"282","Las Animas County","CO",16.4,46281
"283","Lincoln County","CO",15.6,50169
"284","Logan County","CO",13.1,55717
"285","Mesa County","CO",11.1,64141
"286","Mineral County","CO",8.7,58004
"287","Moffat County","CO",9.9,63128
"288","Montezuma County","CO",12.9,54053
"289","Montrose County","CO",10.4,59764
"290","Morgan County","CO",10.5,63297
"291","Otero County","CO",17.6,46235
"292","Ouray County","CO",6.7,74492
"293","Park County","CO",7.8,77598
"294","Phillips County","CO",10.2,57385
"295","Pitkin County","CO",6.4,93634
"296","Prowers County","CO",16.2,47463
"297","Pueblo County","CO",14.1,50885
"298","Rio Blanco County","CO",9.8,64039
"299","Rio Grande County","CO",13.3,51416
"300","Routt County","CO",6.3,82330
"301","Saguache County","CO",18.6,56012
"302","San Juan County","CO",11.3,54387
"303","San Miguel County","CO",7.6,77099
"304","Sedgwick County","CO",13.2,43354
"305","Summit County","CO",6.1,91079
"306","Teller County","CO",7.3,62845
"307","Washington County","CO",11.8,59174
"308","Weld County","CO",8.9,77937
"309","Yuma County","CO",11.5,82124
"310","Fairfield County","CT",8.8,98828
"311","Hartford County","CT",10.7,73476
"312","Litchfield County","CT",7.4,79512
"313","Middlesex County","CT",7.7,89970
"314","New Haven County","CT",11.2,72517
"315","New London County","CT",8,77202
"316","Tolland County","CT",6.9,87247
"317","Windham County","CT",10.4,66349
"318","Kent County","DE",13,61538
"319","New Castle County","DE",10.1,75145
"320","Sussex County","DE",11,69829
"321","District of Columbia","DC",15,91957
"322","District of Columbia","DC",15,91957
"323","Alachua County","FL",17.2,51995
"324","Baker County","FL",12.8,61514
"325","Bay County","FL",12.4,61332
"326","Bradford County","FL",17.5,48260
"327","Brevard County","FL",9.9,65871
"328","Broward County","FL",11,63901
"329","Calhoun County","FL",20.3,43994
"330","Charlotte County","FL",9.8,58368
"331","Citrus County","FL",12.6,48574
"332","Clay County","FL",8.9,72520
"333","Collier County","FL",10.1,81895
"334","Columbia County","FL",15.6,46670
"335","DeSoto County","FL",20.8,45807
"336","Dixie County","FL",23.2,41450
"337","Duval County","FL",15.2,55202
"338","Escambia County","FL",13.5,57089
"339","Flagler County","FL",9.4,67054
"340","Franklin County","FL",19.1,47206
"341","Gadsden County","FL",21.9,42698
"342","Gilchrist County","FL",14.5,52000
"343","Glades County","FL",18.1,45328
"344","Gulf County","FL",15.1,51593
"345","Hamilton County","FL",24.2,41871
"346","Hardee County","FL",21.2,46264
"347","Hendry County","FL",22.9,45652
"348","Hernando County","FL",12.5,52108
"349","Highlands County","FL",16.1,48922
"350","Hillsborough County","FL",11.9,65272
"351","Holmes County","FL",20.5,41969
"352","Indian River County","FL",8.7,72934
"353","Jackson County","FL",19.5,44108
"354","Jefferson County","FL",17.2,54354
"355","Lafayette County","FL",20.7,41635
"356","Lake County","FL",9.2,58501
"357","Lee County","FL",10.5,66140
"358","Leon County","FL",17.6,61403
"359","Levy County","FL",16.9,41894
"360","Liberty County","FL",21.2,46734
"361","Madison County","FL",23.8,41650
"362","Manatee County","FL",10.9,63328
"363","Marion County","FL",15.3,48553
"364","Martin County","FL",11.1,72736
"365","Miami-Dade County","FL",15,59259
"366","Monroe County","FL",10.2,68584
"367","Nassau County","FL",8.1,75123
"368","Okaloosa County","FL",9.6,65977
"369","Okeechobee County","FL",17.7,48028
"370","Orange County","FL",12.7,69074
"371","Osceola County","FL",11.8,63018
"372","Palm Beach County","FL",12,68200
"373","Pasco County","FL",11.4,52332
"374","Pinellas County","FL",11.1,61532
"375","Polk County","FL",14.4,54591
"376","Putnam County","FL",24.3,36527
"377","St. Johns County","FL",8.1,94343
"378","St. Lucie County","FL",13.8,59023
"379","Santa Rosa County","FL",9.4,71583
"380","Sarasota County","FL",8.7,66138
"381","Seminole County","FL",8,71930
"382","Sumter County","FL",12.3,60278
