"","county","state","population"
"1","Autauga County","AL",58877
"2","Baldwin County","AL",233140
"3","Barbour County","AL",25180
"4","Bibb County","AL",22223
"5","Blount County","AL",59081
"6","Bullock County","AL",10309
"7","Butler County","AL",19045
"8","Calhoun County","AL",116266
"9","Chambers County","AL",34678
"10","Cherokee County","AL",24958
"11","Chilton County","AL",45024
"12","Choctaw County","AL",12619
"13","Clarke County","AL",22995
"14","Clay County","AL",14193
"15","Cleburne County","AL",15035
"16","Coffee County","AL",53565
"17","Colbert County","AL",57236
"18","Conecuh County","AL",11552
"19","Coosa County","AL",10383
"20","Covington County","AL",37469
"21","Crenshaw County","AL",13157
"22","Cullman County","AL",88044
"23","Dale County","AL",49214
"24","Dallas County","AL",38190
"25","DeKalb County","AL",71630
"26","Elmore County","AL",88116
"27","Escambia County","AL",36665
"28","Etowah County","AL",103393
"29","Fayette County","AL",16307
"30","Franklin County","AL",32063
"31","Geneva County","AL",26675
"32","Greene County","AL",7704
"33","Hale County","AL",14792
"34","Henry County","AL",17167
"35","Houston County","AL",107190
"36","Jackson County","AL",52519
"37","Jefferson County","AL",673341
"38","Lamar County","AL",13943
"39","Lauderdale County","AL",93610
"40","Lawrence County","AL",33063
"41","Lee County","AL",174601
"42","Limestone County","AL",104322
"43","Lowndes County","AL",10297
"44","Macon County","AL",19476
"45","Madison County","AL",389696
"46","Marengo County","AL",19264
"47","Marion County","AL",29287
"48","Marshall County","AL",97608
"49","Mobile County","AL",414250
"50","Monroe County","AL",19723
"51","Montgomery County","AL",228448
"52","Morgan County","AL",123336
"53","Perry County","AL",8452
"54","Pickens County","AL",19062
"55","Pike County","AL",32981
"56","Randolph County","AL",21971
"57","Russell County","AL",59226
"58","St. Clair County","AL",91333
"59","Shelby County","AL",223708
"60","Sumter County","AL",12295
"61","Talladega County","AL",82069
"62","Tallapoosa County","AL",41229
"63","Tuscaloosa County","AL",227153
"64","Walker County","AL",65100
"65","Washington County","AL",15296
"66","Wilcox County","AL",10518
"67","Winston County","AL",23491
"68","Aleutians East Borough","AK",3418
"69","Aleutians West Census Area","AK",5206
"70","Anchorage Municipality","AK",290637
"71","Bethel Census Area","AK",18648
"72","Bristol Bay Borough","AK",831
"73","Chugach Census Area","AK",7073
"74","Copper River Census Area","AK",2616
"75","Denali Borough","AK",1611
"76","Dillingham Census Area","AK",4839
"77","Fairbanks North Star Borough","AK",95286
"78","Haines Borough","AK",2085
"79","Hoonah-Angoon Census Area","AK",2361
"80","Juneau City and Borough","AK",32195
"81","Kenai Peninsula Borough","AK",58893
"82","Ketchikan Gateway Borough","AK",13902
"83","Kodiak Island Borough","AK",13023
"84","Kusilvak Census Area","AK",8357
"85","Lake and Peninsula Borough","AK",1454
"86","Matanuska-Susitna Borough","AK",107460
"87","Nome Census Area","AK",10032
"88","North Slope Borough","AK",10993
"89","Northwest Arctic Borough","AK",7784
"90","Petersburg Borough","AK",3401
"91","Prince of Wales-Hyder Census Area","AK",5725
"92","Sitka City and Borough","AK",8428
"93","Skagway Municipality","AK",1239
"94","Southeast Fairbanks Census Area","AK",6831
"95","Wrangell City and Borough","AK",2130
"96","Yakutat City and Borough","AK",683
"97","Yukon-Koyukuk Census Area","AK",5300
"98","Apache County","AZ",65897
"99","Cochise County","AZ",125398
"100","Coconino County","AZ",145116
"101","Gila County","AZ",53306
"102","Graham County","AZ",38614
"103","Greenlee County","AZ",9522
"104","La Paz County","AZ",16580
"105","Maricopa County","AZ",4438342
"106","Mohave County","AZ",214070
"107","Navajo County","AZ",106802
"108","Pima County","AZ",1045599
"109","Pinal County","AZ",429583
