"","county","state","unemployment"
"1","Autauga County","AL",2.8
"2","Baldwin County","AL",3
"3","Barbour County","AL",5.7
"4","Bibb County","AL",3.5
"5","Blount County","AL",2.4
"6","Bullock County","AL",4
"7","Butler County","AL",5.3
"8","Calhoun County","AL",4.1
"9","Chambers County","AL",3.7
"10","Cherokee County","AL",2.5
"11","Chilton County","AL",2.9
"12","Choctaw County","AL",4.4
"13","Clarke County","AL",6
"14","Clay County","AL",2.7
"15","Cleburne County","AL",2.6
"16","Coffee County","AL",2.8
"17","Colbert County","AL",4
"18","Conecuh County","AL",4.8
"19","Coosa County","AL",3.1
"20","Covington County","AL",3
"21","Crenshaw County","AL",3.3
"22","Cullman County","AL",2.4
"23","Dale County","AL",3.1
"24","Dallas County","AL",7.4
"25","DeKalb County","AL",2.5
"26","Elmore County","AL",2.7
"27","Escambia County","AL",4.1
"28","Etowah County","AL",4.1
"29","Fayette County","AL",3.1
"30","Franklin County","AL",2.5
"31","Geneva County","AL",2.8
"32","Greene County","AL",6.9
"33","Hale County","AL",5.7
"34","Henry County","AL",3.2
"35","Houston County","AL",3.4
"36","Jackson County","AL",2.9
"37","Jefferson County","AL",3.6
"38","Lamar County","AL",3
"39","Lauderdale County","AL",3.2
"40","Lawrence County","AL",2.9
"41","Lee County","AL",2.8
"42","Limestone County","AL",2.5
"43","Lowndes County","AL",9.2
"44","Macon County","AL",6
"45","Madison County","AL",2.7
"46","Marengo County","AL",4.2
"47","Marion County","AL",2.8
"48","Marshall County","AL",2.4
"49","Mobile County","AL",4.7
"50","Monroe County","AL",5.6
"51","Montgomery County","AL",4.9
"52","Morgan County","AL",2.6
"53","Perry County","AL",8.3
"54","Pickens County","AL",4.1
"55","Pike County","AL",3.2
"56","Randolph County","AL",2.7
"57","Russell County","AL",3.1
"58","St. Clair County","AL",2.6
"59","Shelby County","AL",2.1
"60","Sumter County","AL",4.5
"61","Talladega County","AL",4.1
"62","Tallapoosa County","AL",4
"63","Tuscaloosa County","AL",3.6
"64","Walker County","AL",3.6
"65","Washington County","AL",4.7
"66","Wilcox County","AL",11
"67","Winston County","AL",2.8
"68","Aleutians East Borough","AK",2.3
"69","Aleutians West Census Area","AK",3.6
"70","Anchorage Borough/municipality","AK",5.8
"71","Bethel Census Area","AK",13.1
"72","Bristol Bay Borough","AK",5.6
"73","Chugach Census Area","AK",6.7
"74","Copper River Census Area","AK",8.9
"75","Denali Borough","AK",10.1
"76","Dillingham Census Area","AK",8.2
"77","Fairbanks North Star Borough","AK",5
"78","Haines Borough","AK",11.3
"79","Hoonah-Angoon Census Area","AK",9.3
"80","Juneau Borough/city","AK",4.7
"81","Kenai Peninsula Borough","AK",7.3
"82","Ketchikan Gateway Borough","AK",7.4
"83","Kodiak Island Borough","AK",6.4
"84","Kusilvak Census Area","AK",19.9
"85","Lake and Peninsula Borough","AK",8.9
"86","Matanuska-Susitna Borough","AK",6.8
"87","Nome Census Area","AK",9.7
"88","North Slope Borough","AK",6.3
"89","Northwest Arctic Borough","AK",11.5
"90","Petersburg Borough","AK",7
"91","Prince of Wales-Hyder Census Area","AK",8
"92","Sitka Borough/city","AK",4.5
"93","Skagway Municipality","AK",14.2
"94","Southeast Fairbanks Census Area","AK",6.6
"95","Wrangell Borough/city","AK",7.5
"96","Yakutat Borough/city","AK",7.1
"97","Yukon-Koyukuk Census Area","AK",12.4
"98","Apache County","AZ",9.1
"99","Cochise County","AZ",4.8
"100","Coconino County","AZ",6
"101","Gila County","AZ",5
"102","Graham County","AZ",4.1
"103","Greenlee County","AZ",4
"104","La Paz County","AZ",5.1
"105","Maricopa County","AZ",4.5
"106","Mohave County","AZ",5.5
"107","Navajo County","AZ",6.5
"108","Pima County","AZ",5
"109","Pinal County","AZ",4.7
"110","Santa Cruz County","AZ",8.7
"111","Yavapai County","AZ",4.1
"112","Yuma County","AZ",12.9
"113","Arkansas County","AR",3.4
"114","Ashley County","AR",7.4
"115","Baxter County","AR",3.7
"116","Benton County","AR",2.8
"117","Boone County","AR",3
"118","Bradley County","AR",4.7
"119","Calhoun County","AR",3.3
"120","Carroll County","AR",3.4
"121","Chicot County","AR",8.6
"122","Clark County","AR",4.7
"123","Clay County","AR",4
"124","Cleburne County","AR",4.6
"125","Cleveland County","AR",4
"126","Columbia County","AR",5.3
"127","Conway County","AR",4.2
