"","county","state","metro","vaccinated"
"1","Craighead County","AR","Metro",45.3
"2","Placer County","CA","Metro",67.5
"3","Bent County","CO","Non-metro",26.8
"4","Otero County","CO","Non-metro",49.2
"5","Hardee County","FL","Non-metro",42.8
"6","Walton County","FL","Metro",49.1
"7","Camden County","GA","Non-metro",56.5
"8","Johnson County","GA","Non-metro",35.3
"9","Wheeler County","GA","Non-metro",26.5
"10","Jasper County","IA","Non-metro",58.5
"11","Madison County","IA","Metro",54
"12","Monroe County","IA","Non-metro",46.3
"13","Boise County","ID","Metro",33.7
"14","Power County","ID","Non-metro",51.6
"15","Barton County","KS","Non-metro",43.3
"16","Clark County","KS","Non-metro",46.4
"17","Elk County","KS","Non-metro",33.9
"18","Ness County","KS","Non-metro",52.4
"19","Russell County","KY","Non-metro",45.8
"20","Assumption Parish","LA","Non-metro",43.4
"21","Plaquemines Parish","LA","Metro",69
"22","Oscoda County","MI","Non-metro",41.9
"23","Saginaw County","MI","Metro",53
"24","Becker County","MN","Non-metro",54.4
"25","Lake County","MN","Non-metro",66.6
"26","Renville County","MN","Non-metro",54.9
"27","Wright County","MN","Metro",54.9
"28","Franklin County","MO","Metro",54.2
"29","Calhoun County","MS","Non-metro",44.1
"30","Guilford County","NC","Metro",61.9
"31","Butler County","NE","Non-metro",51.4
"32","Red Willow County","NE","Non-metro",37
"33","Ocean County","NJ","Metro",54.5
"34","Niagara County","NY","Metro",66.4
"35","Onondaga County","NY","Metro",73.4
"36","Huron County","OH","Non-metro",47.7
"37","Noble County","OH","Non-metro",43.6
"38","Cotton County","OK","Metro",50.1
"39","Logan County","OK","Metro",35.1
"40","Stephens County","OK","Non-metro",47.5
"41","Schuylkill County","PA","Non-metro",60.4
"42","Florida Municipio","PR","Metro",89.6
"43","Morovis Municipio","PR","Metro",74.7
"44","Hutchinson County","SD","Non-metro",53.9
"45","Jerauld County","SD","Non-metro",51.8
"46","Ziebach County","SD","Non-metro",33.7
"47","Smith County","TN","Metro",33.1
"48","Anderson County","TX","Non-metro",39.6
"49","Archer County","TX","Metro",60.6
"50","Clay County","TX","Metro",46.6
"51","Starr County","TX","Non-metro",95
"52","Petersburg city","VA","Metro",35
"53","Franklin County","VT","Metro",37.2
"54","Mercer County","WV","Non-metro",53.5
"55","Conecuh County","AL","Non-metro",43.6
"56","Greenlee County","AZ","Non-metro",44.1
"57","Fresno County","CA","Metro",61.1
"58","Shasta County","CA","Metro",49.8
"59","San Juan County","CO","Non-metro",94.6
"60","DeSoto County","FL","Non-metro",46.3
"61","Holmes County","FL","Non-metro",29.5
"62","Cass County","IA","Non-metro",58.1
"63","Lincoln County","ID","Non-metro",41.5
"64","Coles County","IL","Non-metro",46.2
"65","Jo Daviess County","IL","Non-metro",77.9
"66","Pulaski County","IL","Non-metro",42.6
"67","Greene County","IN","Non-metro",41.3
"68","Marshall County","IN","Non-metro",44.7
"69","Saline County","KS","Non-metro",50.3
"70","St. John the Baptist Parish","LA","Metro",59.8
"71","Carver County","MN","Metro",67.4
"72","Koochiching County","MN","Non-metro",58.8
"73","Sherburne County","MN","Metro",46.1
"74","Jasper County","MO","Metro",47.3
"75","Newton County","MS","Non-metro",53.3
"76","Panola County","MS","Non-metro",47.7
"77","Sharkey County","MS","Non-metro",55.5
"78","Sanders County","MT","Non-metro",38.4
"79","Silver Bow County","MT","Non-metro",61.4
"80","Cumberland County","NC","Metro",60.8
"81","Pender County","NC","Metro",52.4
"82","Kidder County","ND","Non-metro",33
"83","Steele County","ND","Non-metro",46.5
"84","Grant County","NE","Non-metro",20.7
"85","Stanton County","NE","Non-metro",28.5
"86","Rockingham County","NH","Metro",66.3
"87","Cortland County","NY","Non-metro",59.3
"88","Harrison County","OH","Non-metro",42.9
"89","Coal County","OK","Non-metro",40.7
"90","Berks County","PA","Metro",60.5
"91","Susquehanna County","PA","Non-metro",46.7
"92","Quebradillas Municipio","PR","Metro",84.7
"93","Butte County","SD","Non-metro",40
"94","Bedford County","TN","Non-metro",43
"95","Dickson County","TN","Metro",48.7
"96","Hawkins County","TN","Metro",44.5
"97","Henderson County","TN","Non-metro",41.4
"98","El Paso County","TX","Metro",81
"99","Floyd County","TX","Non-metro",45.9
"100","Limestone County","TX","Non-metro",37.5
"101","Robertson County","TX","Metro",44.7
"102","Sanpete County","UT","Non-metro",41
"103","Tooele County","UT","Metro",58.8
"104","Columbia County","WI","Metro",67.1
"105","Lincoln County","WI","Non-metro",55.4
"106","New London County","CT","Metro",79.3
"107","Clarke County","GA","Metro",46.5
"108","Kalawao County","HI","Metro",NA
"109","Pocahontas County","IA","Non-metro",52.2
"110","Lemhi County","ID","Non-metro",47.3
"111","DuPage County","IL","Metro",77.1
"112","Greene County","IL","Non-metro",44.2
"113","Grundy County","IL","Metro",57.9
"114","Montgomery County","IL","Non-metro",51.7
"115","Clay County","IN","Metro",56.1
"116","Jefferson County","IN","Non-metro",55.9
"117","Union County","IN","Metro",49.7
"118","Douglas County","KS","Metro",61.7
"119","Ellsworth County","KS","Non-metro",56.4
"120","Osborne County","KS","Non-metro",41.9
"121","Washington County","KS","Non-metro",54.1
"122","Larue County","KY","Metro",43.7
"123","Pendleton County","KY","Metro",44.1
"124","Lafourche Parish","LA","Metro",45.2
"125","Bay County","MI","Metro",57.3
"126","Traverse County","MN","Non-metro",63.6
"127","Adair County","MO","Non-metro",45.8
"128","Gasconade County","MO","Non-metro",50.6
"129","Iron County","MO","Non-metro",38.9
"130","Yazoo County","MS","Metro",49.2
"131","Daniels County","MT","Non-metro",42.2
"132","Rosebud County","MT","Non-metro",84.5
"133","Davie County","NC","Metro",57.1
"134","Montgomery County","NC","Non-metro",42.5
"135","New Hanover County","NC","Metro",63.5
"136","Robeson County","NC","Non-metro",42.4
"137","Logan County","NE","Non-metro",21.9
"138","Sherman County","OR","Non-metro",57.8
"139","Montgomery County","PA","Metro",76.7
"140","Maricao Municipio","PR","Non-metro",71.2
"141","Barnwell County","SC","Non-metro",55.9
"142","Pennington County","SD","Metro",57.9
"143","Claiborne County","TN","Non-metro",46
"144","Scott County","TN","Non-metro",36.7
"145","Moore County","TX","Non-metro",45.8
"146","Orange County","TX","Metro",36.4
"147","Waller County","TX","Metro",41.9
"148","Willacy County","TX","Non-metro",65.4
"149","Orange County","VA","Non-metro",43.5
"150","Surry County","VA","Non-metro",55.3
"151","Waynesboro city","VA","Metro",43.1
"152","Lamoille County","VT","Non-metro",63.2
"153","Windham County","VT","Non-metro",68.3
"154","Clay County","WV","Metro",56.1
"155","Natrona County","WY","Metro",46.3
"156","Shelby County","AL","Metro",36.2
"157","Columbia County","AR","Non-metro",48.6
"158","Montgomery County","AR","Non-metro",36.2
"159","Union County","AR","Non-metro",48.9
"160","Crowley County","CO","Non-metro",21.7
"161","Grand County","CO","Non-metro",63.1
"162","Moffat County","CO","Non-metro",43.3
"163","Grant County","KY","Metro",49
"164","Lawrence County","KY","Non-metro",48.4
"165","Menifee County","KY","Non-metro",44.4
"166","Pike County","KY","Non-metro",52.8
"167","La Salle Parish","LA","Non-metro",45
"168","St. Bernard Parish","LA","Metro",49.1
"169","Suffolk County","MA","Metro",73.2
"170","Calhoun County","MI","Metro",52.2
"171","Ionia County","MI","Non-metro",47.2
"172","Pipestone County","MN","Non-metro",54.5
"173","Barton County","MO","Non-metro",33.1
"174","Lafayette County","MO","Metro",45.6
"175","Texas County","MO","Non-metro",32.7
"176","Bolivar County","MS","Non-metro",58.9
"177","Perry County","MS","Metro",37.9
"178","Scott County","MS","Non-metro",50.2
"179","Tunica County","MS","Metro",51.9
"180","Broadwater County","MT","Non-metro",33.7
"181","Richland County","MT","Non-metro",39.8
"182","Stillwater County","MT","Non-metro",42
"183","Granville County","NC","Non-metro",62
"184","Madison County","NC","Metro",56.9
"185","Orange County","NC","Metro",78.7
"186","Stokes County","NC","Metro",46.8
"187","Hall County","NE","Metro",49.3
"188","Somerset County","NJ","Metro",76.1
"189","Lander County","NV","Non-metro",40.5
"190","Franklin County","NY","Non-metro",70
"191","Unknown County","NY","",NA
"192","Beckham County","OK","Non-metro",41.3
"193","Osage County","OK","Metro",34.7
"194","Blair County","PA","Metro",52.4
"195","Maunabo Municipio","PR","Metro",77.2
"196","McCook County","SD","Metro",57.4
"197","Lincoln County","TN","Non-metro",41.4
"198","Perry County","TN","Non-metro",41
"199","Eastland County","TX","Non-metro",37.6
"200","Fannin County","TX","Non-metro",44.7
"201","Henderson County","TX","Non-metro",39.3
"202","Jack County","TX","Non-metro",41.2
"203","Lavaca County","TX","Non-metro",41.4
"204","Navarro County","TX","Non-metro",45.4
"205","Smith County","TX","Metro",46
"206","Buckingham County","VA","Metro",39.2
"207","Lincoln County","WA","Non-metro",57.9
"208","Spokane County","WA","Metro",61.2
"209","Dunn County","WI","Non-metro",49.3
"210","Jackson County","WI","Non-metro",50
"211","Portage County","WI","Non-metro",62.4
"212","Walworth County","WI","Non-metro",54.2
"213","Campbell County","WY","Non-metro",31.1
"214","Arkansas County","AR","Non-metro",55.8
"215","Cleveland County","AR","Metro",52.9
"216","Lonoke County","AR","Metro",47.6
"217","Solano County","CA","Metro",67.7
"218","Lamar County","GA","Metro",34.8
"219","Guthrie County","IA","Metro",58.2
"220","Boundary County","ID","Non-metro",35.1
"221","DeKalb County","IL","Metro",56.7
"222","Lawrence County","IN","Non-metro",49.4
"223","Anderson County","KS","Non-metro",43.3
"224","Wallace County","KS","Non-metro",37.4
"225","Baldwin County","AL","Metro",50.8
"226","Faulkner County","AR","Metro",51.3
"227","Johnson County","AR","Non-metro",49.1
"228","Butte County","CA","Metro",53.6
"229","Inyo County","CA","Non-metro",NA
"230","Lake County","CO","Non-metro",59.8
"231","La Plata County","CO","Non-metro",70.5
"232","Manatee County","FL","Metro",61.6
"233","Catoosa County","GA","Metro",44
"234","Colquitt County","GA","Non-metro",40.1
"235","Dodge County","GA","Non-metro",35.4
"236","Franklin County","GA","Non-metro",35.9
"237","Fulton County","GA","Metro",56.3
"238","Honolulu County","HI","Metro",NA
"239","Lucas County","IA","Non-metro",45.3
"240","Wright County","IA","Non-metro",57.5
"241","Benton County","IN","Metro",41.9
"242","Jefferson County","KS","Metro",54.4
"243","Barren County","KY","Non-metro",46
"244","Grayson County","KY","Non-metro",51.3
"245","Harrison County","KY","Non-metro",50.1
"246","Morgan County","KY","Non-metro",48.2
"247","Garrett County","MD","Non-metro",51
"248","Keweenaw County","MI","Non-metro",58.3
"249","Missaukee County","MI","Non-metro",48.5
"250","Clay County","MN","Metro",59.4
"251","Fillmore County","MN","Metro",68.6
"252","Mower County","MN","Non-metro",62.3
